CAS Number	SMILES
1309-64-4	[O-2].[O-2].[O-2].[Sb+3].[Sb+3]
1309-64-4	O=[Sb]O[Sb]=O
1310-58-3	[O-H].[K+]
1310-58-3	O[K]
1310-73-2	[O-H].[Na+]
1310-73-2	O[Na]
131-11-3	COC(=O)c1ccccc1C(=O)OC
131-17-9	C=CCOC(=O)c1ccccc1C(=O)OCC=C
13121-70-5	O.C1CCC(CC1)[Sn](C1CCCCC1)C1CCCCC1
13121-70-5	O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1
131341-86-1	FC1(F)Oc2cccc(-c3c[nH]cc3C#N)c2O1
13138-45-9	[Ni+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O
13138-45-9	[O-][N+](=O)O[Ni]O[N+]([O-])=O
13138-45-9	O.O.O.O.O.O.[Ni+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O
1313-99-1	O=[Ni]
1314-13-2	O=[Zn]
1314-41-6	O1[Pb]O[Pb]2O[Pb]1O2
1314-56-3	O=P(=O)OP(=O)=O
1314-56-3	O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3
1314-62-1	O=[V](=O)O[V](=O)=O
1314-80-3	S=P(=S)SP(=S)=S
1314-80-3	S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3
1314-80-3	SP(=S)SP(S)=S
131-52-2	[Na]Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
131-52-2	[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
131-52-2	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
131538-00-6	SCCSCC(CS)SCCS
1317-36-8	O=[Pb]
1317-38-0	O=[Cu]
1317-39-1	[Cu]O[Cu]
1317-39-1	O.[Cu].[Cu]
1317-65-3	[Ca+2].[O-]C([O-])=O
1319-46-6	[O-H].[O-H].[Pb+2].[Pb+2].[O-]C([O-])=O
1319-46-6	[O-H].[O-H].[Pb+2].[Pb+2].[Pb+2].[O-]C([O-])=O.[O-]C([O-])=O
1319-46-6	[O-H].[O-H].[Pb+2H2].[Pb+2H2].[Pb+2H2].[O-]C([O-])=O.[O-]C([O-])=O
1319-46-6	O[Pb]O.O=C1O[Pb]O1.O=C1O[Pb]O1
1319-77-3	Cc1ccc(O)cc1
1319-77-3	Cc1ccc(O)cc1.Cc1cccc(O)c1.Cc1ccccc1O
1319-77-3	Cc1ccccc1O
1321-23-9	Cc1c(O)ccc(Cl)c1C
1321-23-9	Cc1cc(O)cc(C)c1Cl
1321-64-8	Clc1cc(Cl)c2c(Cl)cc(Cl)c(Cl)c2c1
1321-64-8	Clc1ccc(Cl)c2c(Cl)c(Cl)cc(Cl)c12
1321-64-8	Clc1cccc2c(Cl)c(Cl)c(Cl)c(Cl)c12
1321-65-9	Clc1cc(Cl)c2c(Cl)cccc2c1
1321-65-9	Clc1cc2ccccc2c(Cl)c1Cl
1321-74-0	C=C.C=Cc1ccccc1
1321-74-0	C=Cc1ccc(C=C)cc1.C=Cc1cccc(C=C)c1.C=Cc1ccccc1C=C
1321-74-0	C=Cc1cccc(C=C)c1
1321-74-0	C=Cc1ccccc1C=C
1327-53-3	[O-2].[O-2].[O-2].[As+3].[As+3]
1327-53-3	O=[As]O[As]=O
1327-53-3	O1[As]2O[As]3O[As]1O[As](O2)O3
1330-20-7	Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C
1330-20-7	Cc1cccc(C)c1
1330-20-7	CCc1ccccc1.Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C
1330-43-4	[Na+].[Na+].[O-]B(OB=O)OB([O-])OB=O
133-06-2	ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
133-07-3	ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O
1332-07-6	[Zn+2].[Zn+2].[Zn+2].[O-]B([O-])[O-].[O-]B([O-])[O-]
1332-07-6	[Zn+2].OB([O-])[O-]
1333-82-0	O=[Cr](=O)=O
1333-86-4	C
13356-08-6	CC(C)(C[Sn](CC(C)(C)C(=C)C=CC#C)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)C(=C)C=CC#C)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)C=CC=CC=C
13356-08-6	CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)c1ccccc1
1335-87-1	Clc1cc(Cl)c2c(Cl)c(Cl)cc(Cl)c2c1Cl
1335-87-1	Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl
1335-88-2	Clc1c(Cl)c(Cl)c2ccccc2c1Cl
1335-88-2	Clc1ccc(Cl)c2c(Cl)ccc(Cl)c12
13360-57-1	CN(C)S(Cl)(=O)=O
1336-36-3	Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1
1336-36-3	Clc1ccc(c(Cl)c1)-c1ccc(Cl)cc1Cl
1338-23-4	CC(=O)CCOOCCC(C)=O
1338-23-4	CCC(C)(OO)OOC(C)(CC)OO
1341-49-7	[F-].[N+H3]F
1341-49-7	[N+H4].F.[F-]
134-32-7	Nc1cccc2ccccc12
1344-09-8	[Na+].[Na+].[O-][Si]([O-])=O
1344-09-8	[Na+].O[Si]([O-])=O
1344-28-1	O=[Al]O[Al]=O
1344-28-1	O=[Al+].[O-][Al]=O
1344-37-2	[Pb+2H2].[Pb+2H2].[O-]S([O-])(=O)=O.[O-][Cr]([O-])(=O)=O
13446-48-5	[N+H4].[O-]N=O
1344-95-2	[Ca+2].[Ca+2].[O-][Si]([O-])([O-])[O-]
1344-95-2	[Ca+2].[O-][Si]([O-])=O
134-62-3	CCN(CC)C(=O)c1cccc(C)c1
13463-39-3	[Ni].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+]
13463-40-6	[Fe].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+]
13463-41-7	[O-][n+]1ccccc1[S-H][Zn+2][S-H]c1cccc[n+]1[O-]
13463-41-7	[O-][n+]1ccccc1S[Zn]
13463-41-7	[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
13463-41-7	[Zn+2].[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-]
13463-41-7	[Zn+2].[O-]N1C=CC=CC1=S.[O-]N1C=CC=CC1=S
13463-67-7	O=[Ti]=O
13494-80-9	[Te]
13516-27-3	NC(=N)NCCCCCCCCNCCCCCCCCNC(N)=N
13516-27-3	NC(N)=NCCCCCCCCNCCCCCCCCN=C(N)N
135-19-3	Oc1ccc2ccccc2c1
13530-65-9	[Zn+2].[O-][Cr]([O-])(=O)=O
13530-65-9	O[Cr](O)(=O)=O
13530-68-2	O[Cr](=O)(=O)O[Cr](O)(=O)=O
135-88-6	N(c1ccccc1)c1ccc2ccccc2c1
136-23-2	[Zn+2].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S
136-23-2	CCCCN(CCCC)C(=S)S[Zn]SC(=S)N(CCCC)CCCC
136426-54-5	Fc1ccc2N=C(N(C(=O)c2c1)c1ccc(Cl)cc1Cl)n1cncn1
136-52-7	[Co+2].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
136-52-7	CCCCC(CC)C(=O)O[Co]OC(=O)C(CC)CCCC
136-52-7	CCCCC(CC)C(O)=O
136-78-7	[Na]OS(=O)(=O)OCCOc1ccc(Cl)cc1Cl
136-78-7	[Na+].[O-]S(=O)(=O)OCCOc1ccc(Cl)cc1Cl
136-78-7	OS(=O)(=O)OCCOc1ccc(Cl)cc1Cl
137-05-3	COC(=O)C(=C)C#N
137-26-8	CN(C)C(=S)SSC(=S)N(C)C
137-30-4	[Zn+2].CN(C)C([S-])=S.CN(C)C([S-])=S
137-30-4	CN(C)C(=S)S[Zn]SC(=S)N(C)C
13755-29-8	[Na+].F[B-](F)(F)F
13770-89-3	[Ni+2].NS([O-])(=O)=O.NS([O-])(=O)=O
13770-89-3	NS(=O)(=O)O[Ni]OS(N)(=O)=O
13780-06-8	[Ca+2].[O-]N=O.[O-]N=O
13814-97-6	[Sn+2].F[B-](F)(F)F.F[B-](F)(F)F
138-22-7	CCCCOC(=O)C(C)O
138261-41-3	[O-][N+](=O)N=C1NCCN1Cc1ccc(Cl)nc1
138261-41-3	[O-][N+](=O)NC1=NCCN1Cc1ccc(Cl)nc1
138-86-3	CC(=C)C1CCC(C)=CC1
139-07-1	[Cl-].CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
139-13-9	OC(=O)CN(CC(O)=O)CC(O)=O
139-33-3	[H+].[H+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
139-33-3	[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
139-33-3	[Na+].[Na+].OC(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC(O)=O
139-33-3	[Na+].[Na+].OC(=O)CN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O
139-33-3	OC(=O)CN(CCN(CC(O)=O)CC(=O)O[Na])CC(=O)O[Na]
139-33-3	OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
13967-50-5	[K+].[Au+].[C-]#N.[C-]#N
13967-50-5	[K+].N#C[Au-]C#N
140-57-8	CC(COc1ccc(cc1)C(C)(C)C)O[S+]([O-])OCCCl
140-66-9	CC(C)(C)CC(C)(C)c1ccc(O)cc1
14075-53-7	[K+].F[B-](F)(F)F
14075-53-7	F[K].FB(F)F
140-88-5	CCOC(=O)C=C
141-32-2	CCCCOC(=O)C=C
141-43-5	NCCO
141-66-2	COP(=O)(OC)OC(C)=CC(=O)N(C)C
141-78-6	CCOC(C)=O
141-79-7	CC(C)=CC(C)=O
14216-74-1	[Co].O[N+]([O-])=O
14263-73-1	[K]C#N.[K]C#N.[K]C#N.[Cu]C#N
142-64-3	Cl.Cl.C1CNCCN1
142-82-5	CCCCCCC
142-90-5	CCCCCCCCCCCCOC(=O)C(C)=C
143-07-7	CCCCCCCCCCCC(O)=O
14324-55-1	[Zn+2].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S
