CAS Number	SMILES
14324-55-1	CCN(CC)C(=S)S[Zn]SC(=S)N(CC)CC
143-33-9	[Na]C#N
143-33-9	[Na+].[C-]#N
144-55-8	[Na+].OC([O-])=O
144-55-8	OC(=O)O[Na]
144-62-7	OC(=O)C(O)=O
14464-46-1	O=[Si]=O
14484-64-1	[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S
14484-64-1	CN(C)C(=S)S[Fe](SC(=S)N(C)C)SC(=S)N(C)C
1461-22-9	[Cl-].CCCC[Sn+](CCCC)CCCC
1461-22-9	CCCC[Sn](Cl)(CCCC)CCCC
1477-55-0	CNc1cccc(NC)c1
1477-55-0	NCc1cccc(CN)c1
148-01-6	Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O
14807-96-6	[Mg+2].[Mg+2].[Mg+2].O[Si]([O-])=O.O[Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O
14807-96-6	[Mg+2].[O-][Si]([O-])=O
14807-96-6	O[Si](O)=O
14808-60-7	O=[Si]=O
148-79-8	c1ccc2[nH]c(nc2c1)-c1cscn1
14915-37-8	[Cu+2].[O-]N1C=CC=CC1=S.[O-]N1C=CC=CC1=S
14915-37-8	S=C1C=CC=CN1O[Cu]ON1C=CC=CC1=S
149-30-4	S=C1Nc2ccccc2S1
149-30-4	SC1Nc2ccccc2S=1
149-30-4	Sc1nc2ccccc2s1
14977-61-8	Cl[Cr](Cl)(=O)=O
150-38-9	[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
150-38-9	[Na+].[Na+].[Na+].OC(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
150-38-9	O.O.O.[Na+].[Na+].[Na+].OC(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
150-38-9	OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
150-76-5	COc1ccc(O)cc1
15096-52-3	[Na+].[Na+].[Na+].F[Al-3](F)(F)(F)(F)F
151-21-3	[Na+].CCCCCCCCCCCCOS([O-])(=O)=O
151-21-3	CCCCCCCCCCCCOS(=O)(=O)O[Na]
151-21-3	CCCCCCCCCCCCOS(O)(=O)=O
151-50-8	[K]C#N
151-50-8	[K+].[C-]#N
151-56-4	C1CN1
1530-32-1	[Br-].CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
1530-32-1	CCP(Br)(c1ccccc1)(c1ccccc1)c1ccccc1
153719-23-4	CN1COCN(Cc2cnc(Cl)s2)C1=N[N+]([O-])=O
1563-66-2	CNC(=O)Oc1cccc2CC(C)(C)Oc21
156-62-7	[Ca]=NC#N
156-62-7	[Ca+2].[N-]=C=[N-]
156-62-7	[Ca+2].[N-2]C#N
156-62-7	[CaH2].NC#N
15739-80-7	[Pb].OS(O)(=O)=O
15739-80-7	O=S1(=O)O[Pb]O1
15879-93-3	OCC(O)C1OC2OC(OC2C1O)C(Cl)(Cl)Cl
16219-75-3	CC=C1CC2CC1C=C2
1631-25-0	O=C1C=CC(=O)N1C1CCCCC1
1634-04-4	COC(C)(C)C
165252-70-0	CN=C(NCC1CCOC1)N[N+]([O-])=O
165252-70-0	CNC(NCC1CCOC1)=N[N+]([O-])=O
16752-77-5	CNC(=O)ON=C(C)SC
16812-54-7	[S-2].[Ni+2]
16812-54-7	S.[Ni]
16812-54-7	S=[Ni]
168316-95-8	CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC.CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C(C)=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC
16871-90-2	[K+].[K+].F[Si-2](F)(F)(F)(F)F
16872-11-0	[H+].F[B-](F)(F)F
16872-11-0	F.FB(F)F
16872-11-0	F[B-](F)(F)F
16893-85-9	[Na+].[Na+].F[Si-2](F)(F)(F)(F)F
16949-65-8	[Mg+2].F[Si-2](F)(F)(F)(F)F
16961-83-4	[H+].[H+].F[Si-2](F)(F)(F)(F)F
16961-83-4	F[Si-2](F)(F)(F)(F)F
1717-00-6	CC(F)(Cl)Cl
17804-35-2	CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
1806-26-4	CC(C)(C)CC(C)(C)c1ccc(O)cc1
1806-26-4	CCCCCCCCc1ccc(O)cc1
18540-29-9	[Cr+6]
1897-45-6	Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
1912-24-9	CCNc1nc(Cl)nc(NC(C)C)n1
19287-45-7	BB
1929-82-4	Clc1cccc(n1)C(Cl)(Cl)Cl
1937-37-7	[Na+].[Na+].Nc1c(cc(c2ccccc12)S([O-])(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S([O-])(=O)=O
1937-37-7	[Na+].[Na+].Nc1ccc(N=Nc2ccc(cc2)-c2ccc(cc2)N=Nc2c(N)c3c(O)c(N=Nc4ccccc4)c(cc3cc2S([O-])(=O)=O)S([O-])(=O)=O)c(N)c1
1937-37-7	Nc1ccc(N=Nc2ccc(cc2)-c2ccc(cc2)N=Nc2c(N)c3c(O)c(N=Nc4ccccc4)c(cc3cc2S(=O)(=O)O[Na])S(=O)(=O)O[Na])c(N)c1
1937-37-7	Nc1ccc(N=Nc2ccc(cc2)-c2ccc(cc2)N=Nc2c(N)c3c(O)c(N=Nc4ccccc4)c(cc3cc2S(O)(=O)=O)S(O)(=O)=O)c(N)c1
20325-40-0	[Cl-].[Cl-].COc1cc(ccc1[N+H3])-c1ccc([N+H3])c(OC)c1
20325-40-0	Cl.Cl.COc1cc(ccc1N)c1ccc(N)c(OC)c1
20325-40-0	Cl.Cl.COc1cc(ccc1N)-c1ccc(N)c(OC)c1
20325-40-0	Cl.COc1cc(ccc1N)-c1ccc(N)c(OC)c1
20325-40-0	COc1cc(ccc1N)-c1ccc(N)c(OC)c1
2039-87-4	Clc1ccccc1C=C
20427-59-2	[O-H].[Cu+]
20427-59-2	[O-H].[O-H].[Cu+].[Cu+]
20427-59-2	[O-H].[O-H].[Cu+2]
20427-59-2	O.O.[Cu]
20427-59-2	O[Cu]O
20816-12-0	O=[Os](=O)(=O)=O
20837-86-9	[Pb].NC#N
20859-73-8	[Al]#P
21041-95-2	[O-H].[O-H].[Cd+2]
21041-95-2	O[Cd]O
2104-64-5	CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)c1ccccc1
21087-64-9	CSC1=NN=C(C(=O)N1N)C(C)(C)C
210880-92-5	CN=C(NCc1cnc(Cl)s1)N[N+]([O-])=O
210880-92-5	CNC(NCc1cnc(Cl)s1)=N[N+]([O-])=O
21351-79-1	[O-H].[Cs+]
21351-79-1	O[Cs]
2179-59-1	CCCSSCC=C
218-01-9	c1ccc2c(c1)ccc1c3ccccc3ccc21
21806-61-1	O=S1(=O)OCC=C1
22224-92-6	CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1
2223-93-0	[Cd+2].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O
2223-93-0	CCCCCCCCCCCCCCCCCC(O)=O
2234-13-1	Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl
22781-23-3	CNC(=O)Oc1cccc2OC(C)(C)Oc12
23564-05-8	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
2373-98-0	Nc1ccc(cc1O)-c1ccc(N)c(O)c1
2399-85-1	[K+].[K+].[K+].[O-]C(=O)CN(CC([O-])=O)CC([O-])=O
2420-98-6	[Cd+2].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
2420-98-6	CCCCC(CC)C(O)=O
2437-29-8	OC(=O)C([O-])=O.CN(C)c1cccc(c1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C
2437-29-8	OC(=O)C(O)=O.OC(=O)C([O-])=O.CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C
2437-29-8	OC(=O)C(O)=O.OC(=O)C([O-])=O.OC(=O)C([O-])=O.CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C.CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C
2437-29-8	OCC(O)C(O)C(O)C(O)C(O)=O
2451-62-9	O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1
24634-61-5	[K+].CC=CC=CC([O-])=O
24634-61-5	CC=CC=CC(=O)O[K]
24634-61-5	CC=CC=CC(O)=O
25013-15-4	C.C=Cc1ccccc1
25013-15-4	CC(=C)c1ccccc1
25013-15-4	Cc1ccc(C=C)cc1
25013-15-4	Cc1ccc(C=C)cc1.Cc1cccc(C=C)c1
25013-15-4	Cc1cccc(C=C)c1
25013-15-4	Cc1ccccc1C=C
25068-38-6	ClCC1CO1.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
25068-38-6	ClCC1CO1.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1 |Polymer
25154-52-3	CC(C)CC(C)CC(C)c1ccc(O)cc1
25154-52-3	CCCCCCCCCc1ccc(O)cc1
25154-52-3	CCCCCCCCCc1cccc(O)c1
25154-52-3	CCCCCCCCCc1ccccc1O
25265-71-8	CC(O)COCC(C)O
25265-71-8	CCC(O)OC(O)CC
25265-71-8	OCCCOCCCO
25321-14-6	Cc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O.Cc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O.Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O.Cc1cccc(c1[N+]([O-])=O)[N+]([O-])=O.Cc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O.Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O
25321-14-6	Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
25321-14-6	Cc1cccc(c1[N+]([O-])=O)[N+]([O-])=O
25322-68-3	CCO |Polymer
25322-68-3	OCCO
25322-68-3	OCCOCCOCCOCCO
25322-68-3	OCCOCCOCCOCCOCCO
2551-62-4	FS(F)(F)(F)(F)F
25551-13-7	Cc1cc(C)cc(C)c1
25551-13-7	Cc1cccc(C)c1C
25637-99-4	BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br
25637-99-4	BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1
25637-99-4	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
25639-42-3	CC1(O)CCCCC1
25646-71-3	CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1
25646-71-3	OS([O-])(=O)=O.OS([O-])(=O)=O.[O-]S([O-])(=O)=O.CC[N+H](CCNS(C)(=O)=O)c1ccc([N+H3])c(C)c1.CC[N+H](CCNS(C)(=O)=O)c1ccc([N+H3])c(C)c1
25646-71-3	OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1
25655-41-8	II.C=CN1CCCC1=O
25956-17-6	[Na+].[Na+].COc1c(C)c(ccc1N=Nc1c(O)ccc2cc(ccc21)S([O-])(=O)=O)S([O-])(=O)=O
25956-17-6	[Na+].[Na+].COc1cc(c(C)cc1N=Nc1c(O)ccc2cc(ccc21)S([O-])(=O)=O)S([O-])(=O)=O
25956-17-6	[Na+].[Na+].COc1cc(c(C)cc1NN=C1C(=O)C=Cc2cc(ccc21)S([O-])(=O)=O)S([O-])(=O)=O
25956-17-6	COc1cc(c(C)cc1N=Nc1c(O)ccc2cc(ccc21)S(=O)(=O)O[Na])S(=O)(=O)O[Na]
25956-17-6	COc1cc(c(C)cc1N=Nc1c(O)ccc2cc(ccc21)S(O)(=O)=O)S(O)(=O)=O
25988-97-0	CN(C)CC(O)CO
26046-85-5	CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C
26140-60-3	c1ccc(cc1)-c1ccc(cc1)-c1ccccc1
26140-60-3	c1ccc(cc1)-c1cccc(c1)-c1ccccc1
26172-55-4	CN1SC(Cl)=CC1=O
2634-33-5	O=C1NSc2ccccc12
2634-33-5	Oc1nsc2ccccc12
26447-40-5	O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1
26447-40-5	O=C=Nc1ccccc1Cc1ccccc1N=C=O
26471-62-5	Cc1ccc(cc1N=C=O)N=C=O
26471-62-5	Cc1ccc(cc1N=C=O)N=C=O.Cc1c(cccc1N=C=O)N=C=O
26530-20-1	CCCCCCCCN1SC=CC1=O
26628-22-8	[Na]N=[N+]=[N-]
26628-22-8	[Na+].[N-]=[N+]=[N-]
26761-40-0	CC(C)(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)(C)C
26761-40-0	CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C
2682-20-4	CN1SC=CC1=O
2687-25-4	Cc1cccc(N)c1N
26952-21-6	CC(C)CCCCCO
26966-75-6	Cc1ccc(N)c(N)c1
2698-41-1	Clc1ccccc1C=C(C#N)C#N
2699-79-8	FS(F)(=O)=O
27193-28-8	CC(C)(C)CC(C)(C)c1cccc(O)c1
27193-28-8	CC(C)(C)CC(C)(C)c1ccccc1O
27193-28-8	CCCCCCCCc1ccc(O)cc1
27253-28-7	[Pb].CCC(C)(CCC(C)C)C(O)=O
27253-28-7	CC(C)(C)CC(C)(C)CC(=O)O[Pb]OC(=O)CC(C)(C)CC(C)(C)C
27253-28-7	CC(C)(C)CC(C)(C)CC(O)=O
27519-02-4	CCCCCCCCCCCCCC=CCCCCCCCC
2764-72-9	[Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]12
2764-72-9	C1C[n+]2ccccc2c2cccc[n+]12
2764-72-9	C1C[n+]2ccccc2-c2cccc[n+]12
2836-32-0	[Na+].OCC([O-])=O
2836-32-0	OCC(=O)O[Na]
2836-32-0	OCC(O)=O
28553-12-0	CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
28772-56-7	OC(CC(c1ccccc1)C1C(=O)c2ccccc2OC=1O)c1ccc(cc1)-c1ccc(Br)cc1
28772-56-7	OC(CC(c1ccccc1)C1C(=O)Oc2ccccc2C=1O)c1ccc(cc1)-c1ccc(Br)cc1
287-92-3	C1CCCC1
2893-78-9	[Na]N1C(=O)N(Cl)C(=O)N(Cl)C1=O
2893-78-9	[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl
2893-78-9	[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O
2893-78-9	ClN1C(=O)NC(=O)N(Cl)C1=O
2897-60-1	CCO[Si](C)(CCCOCC1CO1)OCC
2897-60-1	CCOC([Si])(CCCOCC1CO1)OCC
2897-60-1	CCOC([SiH3])(CCCOCC1CO1)OCC
29191-52-4	COc1ccccc1N
2921-88-2	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
29590-42-9	CC(C)CCCCCOC(=O)C=C
2971-90-6	Cc1nc(C)c(Cl)c(O)c1Cl
298-00-0	COP(=S)(OC)Oc1ccc(cc1)[N+]([O-])=O
298-02-2	CCOP(=S)(OCC)SCSCC
298-04-4	CCOP(=S)(OCC)SCCSCC
299-84-3	COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
299-86-5	CNP(=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C
300-76-5	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
301-08-6	[Pb+2].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
301-08-6	CCCCC(CC)C(=O)O[Pb]OC(=O)C(CC)CCCC
301-08-6	CCCCC(CC)C(O)=O
302-01-2	NN
3026-22-0	[Cd+2].[O-]C(=O)c1ccccc1.[O-]C(=O)c1ccccc1
3026-22-0	OC(=O)c1ccccc1
3033-77-0	[Cl-].C[N+](C)(C)CC1CO1
30507-70-1	CC=CCC=CCCCCCCCCOC(C)=O
30507-70-1	CCCCCCCCCCC=CC=C
30525-89-4	CO
309-00-2	ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
314-40-9	CCC(C)N1C(=O)NC(C)=C(Br)C1=O
31654-77-0	CC=CCC=CCCCCCCCCOC(C)=O
3194-55-6	BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1
3194-55-6	BrC1CCC(Br)C(Br)C(Br)C(Br)CCC1Br
319-85-7	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
32289-58-0	Cl.CCCCCCNC(=N)NC(N)=N
32289-58-0	NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCCCCCCNC(=N)NC(N)=N
3236-71-3	Oc1ccc(cc1)C1(c2ccc(O)cc2)c2ccccc2-c2ccccc21
3251-23-8	[Cu+].[Cu+].[O-][N+]([O-])=O.[O-][N+]([O-])=O
3251-23-8	[Cu+].[O-][N+]([O-])=O
3251-23-8	[Cu+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O
330-54-1	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
330-55-2	CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
3333-52-6	CC(C)(C#N)C(C)(C)C#N
3333-67-3	[Ni+2].[O-]C([O-])=O
3333-67-3	O=C1O[Ni]O1
333-41-5	CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
33399-00-7	CCOP(=O)(OCC)OC(=CBr)c1ccc(Cl)cc1Cl
334-48-5	CCCCCCCCCC(O)=O
334-88-3	C=[N+]=[N-]
33734-57-5	CCCCCCCC(=O)OO
3380-30-1	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1
3380-34-5	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
3383-96-8	COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
34590-94-8	CCC(O)OCCCOC
34590-94-8	COC(C)COC(C)CO
34590-94-8	COC(C)COCC(C)O
353-50-4	FC(F)=O
35367-38-5	Fc1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1
35400-43-2	CCCSP(=S)(OCC)Oc1ccc(SC)cc1
354-32-5	FC(F)(F)C(Cl)=O
35691-65-7	BrCC(Br)(CCC#N)C#N
3689-24-5	CCOP(=S)(OCC)OP(=S)(OCC)OCC
3691-35-8	Clc1ccc(cc1)C(C(=O)C1C(=O)c2ccccc2C1=O)c1ccccc1
3691-35-8	OC1c2ccccc2C(=O)C=1C(=O)C(c1ccccc1)c1ccc(Cl)cc1
37211-05-5	[Cl-].[Cl-].[Ni+2]
37247-91-9	[O-2].[O-2].[Mg+2].[Ca+2]
37247-91-9	O=[Mg].O=[Ca]
373-02-4	[Ni+2].CC([O-])=O.CC([O-])=O
373-02-4	CC(=O)O[Ni]OC(C)=O
373-02-4	CC(O)=O
3884-95-5	CC(C)(C)CC(C)(C)c1ccccc1O
3926-62-3	[Na]OC(=O)CCl
3926-62-3	[Na+].[O-]C(=O)CCl
3926-62-3	OC(=O)CCl
39445-23-3	[O-H].[O-H].[O-H].[O-H].[Mg+2].[Ca+2]
39445-23-3	O[Mg]O.O[Ca]O
4016-14-2	CC(C)OC1CO1
4016-14-2	CC(C)OCC1CO1
4067-16-7	NCCNCCNCCNCCNCCN
409-21-2	C[Si]
4098-71-9	CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
4170-30-3	CC=CC=O
420-04-2	NC#N
460-19-5	N#CC#N
4602-84-0	CC(C)=CCCC(C)=CCCC(C)=CCO
463-51-4	C=C=O
4685-14-7	[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1
4685-14-7	C[n+]1ccc(cc1)-c1cc[n+](C)cc1
479-45-8	CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
49663-84-5	[O-H].[O-H].[O-H].[O-H].[O-H].[O-H].[O-H].[O-H].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[O-][Cr]([O-])(=O)=O
496-72-0	Cc1ccc(N)c(N)c1
497-19-8	[Na]OC(=O)O[Na]
497-19-8	[Na+].[Na+].[O-]C([O-])=O
497-19-8	OC(=O)O[Na]
499-44-5	CC(C)C1=CC=CC(=O)C(O)=C1
499-44-5	CC(C)C1C=CC=C(O)C(=O)C=1
50-00-0	C=O
501-53-1	ClC(=O)OCc1ccccc1
50-29-3	Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
50-32-8	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
504-29-0	Nc1ccccn1
5064-31-3	[Na]OC(=O)CN(CC(=O)O[Na])CC(=O)O[Na]
5064-31-3	[Na+].[Na+].[Na+].[O-]C(=O)CN(CC([O-])=O)CC([O-])=O
5064-31-3	OC(=O)CN(CC(O)=O)CC(O)=O
506-61-6	[K+].[Ag+].[C-]#N.[C-]#N
506-64-9	[Ag]C#N
506-64-9	[Ag+].[C-]#N
506-77-4	ClC#N
50-78-2	CC(=O)Oc1ccccc1C(O)=O
509-14-8	[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O
5124-30-1	O=C=NC1CCC(CC1)CC1CCC(CC1)N=C=O
5131-66-8	CCCCOCC(C)O
51594-55-9	ClCC1CO1
51-79-6	CCOC(N)=O
52304-36-6	CCCCN(CCC(=O)OCC)C(C)=O
52315-07-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
52-51-7	OCC(Br)(CO)[N+]([O-])=O
52645-53-1	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
526-73-8	Cc1cccc(C)c1C
52-68-6	COP(=O)(OC)C(O)C(Cl)(Cl)Cl
528-29-0	[O-][N+](=O)c1ccccc1[N+]([O-])=O
52918-63-5	CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
5315-79-7	Oc1ccc2ccc3cccc4ccc1c2c34
532-27-4	ClCC(=O)c1ccccc1
532-82-1	[Cl-].Nc1cc([N+H3])ccc1N=Nc1ccccc1
532-82-1	Cl.Nc1ccc(N=Nc2ccccc2)c(N)c1
532-82-1	Nc1ccc(N=Nc2ccccc2)c(N)c1
533-74-4	CN1CSC(=S)N(C)C1
534-52-1	Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O
53469-21-9	Clc1ccc(c(Cl)c1)-c1ccc(Cl)cc1Cl
53469-21-9	Clc1ccc(c(Cl)c1)-c1cccc(Cl)c1Cl
53469-21-9	Clc1ccc(cc1)-c1ccc(Cl)cc1.Clc1ccc(cc1)-c1ccc(Cl)cc1Cl.Clc1ccc(c(Cl)c1)-c1ccc(Cl)c(Cl)c1.Clc1ccc(c(Cl)c1)-c1cc(Cl)c(Cl)cc1Cl
5395-50-6	OCN1C2C(N(CO)C1=O)N(CO)C(=O)N2CO
540-59-0	ClC=CCl
540-88-5	CC(=O)OC(C)(C)C
541-85-5	CCC(C)CC(=O)CC
542-75-6	ClCC=CCl
542-88-1	ClCOCCl
542-92-7	C1C=CC=C1
54406-48-3	CCC=C(C)C(OC(=O)C1C(C=C(C)C)C1(C)C)C#C
5443-49-2	BrC(C=O)=Cc1ccccc1
5443-49-2	Brc1ccccc1C=CC=O
544-92-3	[Cu]C#N
544-92-3	[Cu+].[C-]#N
545-06-2	ClC(Cl)(Cl)C#N
545-55-1	O=P(N1CC1)(N1CC1)N1CC1
546-93-0	[Mg+2].[O-]C([O-])=O
546-93-0	O=C1O[Mg]O1
55-18-5	CCN(CC)N=O
552-30-7	OC(=O)c1ccc2C(=O)OC(=O)c2c1
55-38-9	COP(=S)(OC)Oc1ccc(SC)c(C)c1
55406-53-6	CCCCNC(=O)OCC#CI
55-63-0	[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
556-52-5	OCC1CO1
557-05-1	[Zn+2].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O
557-05-1	CCCCCCCCCCCCCCCCCC(=O)O[Zn]OC(=O)CCCCCCCCCCCCCCCCC
557-05-1	CCCCCCCCCCCCCCCCCC(O)=O
557-21-1	[Zn+2].[C-]#N.[C-]#N
557-21-1	N#C[Zn]C#N
558-13-4	BrC(Br)(Br)Br
55965-84-9	CN1SC=CC1=O.CN1SC(Cl)=CC1=O
56073-07-5	OC1c2ccccc2OC(=O)C=1C1CC(Cc2ccccc12)c1ccc(cc1)-c1ccccc1
56073-10-0	OC1c2ccccc2OC(=O)C=1C1CC(Cc2ccccc12)c1ccc(cc1)-c1ccc(Br)cc1
56189-09-4	CCCCCCCCCCCCCCCCCC(=O)O[Pb]
56-23-5	ClC(Cl)(Cl)Cl
5625-90-1	C1CN(CCO1)CN1CCOCC1
563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
56-35-9	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
563-80-4	CC(C)C(C)=O
56-38-2	CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O
56-81-5	OCC(O)CO
569-64-2	[Cl-].CN(C)c1ccc(cc1)[C+](c1ccccc1)c1ccc(cc1)N(C)C
569-64-2	[Cl-].CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C
569-64-2	[O-]C(=O)C([O-])=O.CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C.CN(C)c1ccc(cc1)C(c1ccccc1)=C1C=CC(C=C1)=[N+](C)C
57-09-0	[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
57-09-0	[Br-H4].CCCCCCCCCCCCCCCC[N+](C)(C)C
5714-22-7	FS(F)(F)(F)(F)S(F)(F)(F)(F)F
57-14-7	CN(C)N
57-24-9	O=C1CC2OCC=C3CN4CCC56C4CC3C2C5N1c1ccccc16
573-58-0	[Na+].[Na+].Nc1c(cc(c2ccccc12)S([O-])(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S([O-])(=O)=O
573-58-0	Nc1c(cc(c2ccccc12)S(=O)(=O)O[Na])N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(=O)(=O)O[Na]
573-58-0	Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O
57-50-1	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
57-55-6	CC(O)CO
57-57-8	O=C1CCO1
576-26-1	Cc1cccc(C)c1O
57653-85-7	Clc1cc2Oc3c(Oc2c(Cl)c1Cl)cc(Cl)c(Cl)c3Cl
57-74-9	ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
580-13-2	Brc1ccc2ccccc2c1
58339-34-7	[Cd+2].OS([Se])(=O)=O.CN(C)C(=O)Nc1ccccc1
58339-34-7	[Cd+2].OS([SeH])(=O)=O.CN(C)C(=O)Nc1ccccc1
583-60-8	CC1CCCCC1=O
5836-29-3	OC1c2ccccc2OC(=O)C=1C1CCCc2ccccc12
5836-29-3	OC1Oc2ccccc2C(=O)C=1C1CCCc2ccccc12
